,user_review
30,"So finally movies are back in the cinema and this one was one of the first to watch. An Avengers spin-off.It's nice to see how Black Widow was created but after a while it became a bit too much of blah blah but towards the end it do picks up the action again.The effects are stunning and the fight scene's are spectacular too but as said, the story itself has it flows. And maybe some reviews are true, it's more about her sister to be honest.Still a decent Marvel flick but not the best one.Gore 0/5
Nudity 0/5
Effects 5/5
Story 2,5/5
Comedy 0/5."
31,"This comes after the Civil War and before the blink. We get a quick back story of the Black Widow (Scarlett Johansson) quicker than what I had wished. Her entire training is done during the opening credits. I was hoping for more and her conversion etc. We get to meet her pseudo family of Florence Pugh, Rachel Weisz, and David Harbour who we already met as Alexi. Together they must save the world from Draykov (Ray Winstone) and his legion of Black Widows located world wide.It was not the film I wanted. Florence Pugh stole scenes from Scarlett Johansson, something I did not think possible. She points out the the Black Window always has that three point pose followed by a hair flip. This is what separates Marvel from DC: the dialogue is more entertaining."
32,"I think the wake is definitely worth it! The story is very engaging because of the family theme. There's a lot of action, and I was entranced throughout the film. The visuals are amazing. There are a few funny jokes to balance the film too. The scene with Florence Pugh posing made the cinema laughed out loud. I really enjoyed this film."
33,"Shortly after the events of Civil War, Natasha(Johansson, yet again nailing the ""carrying the weight of all the awful things she did before reforming"", which here is made one of the primary themes, along with how found family can help process pain, especially if it is a shared experience) meets back up with the three people (none of whom are actually related by blood) she shared (what little she had of) her childhood with: sister Yelena(Pugh, delivering several, perhaps more than any other one performer, of the many emotional gut punches), mother Melina(Weisz, applying her substantial brains to the situation) and father Alexei(Harbour, both legitimately trying to be parental figures, and occasionally really getting it right), to once and for all accomplish what Romanoff honestly believed she head done decades ago: Kill the evil General Dreykov(Winstone, as usual being deeply compelling as a vicious individual, here a misogynist), and destroy the Red Room, where all Black Widows are broken down, trained, and stripped of any individuality.Obviously, it would have been even better if this had come out years ago. Actually, with a little rewriting, this could easily have come out an entire decade ago. Regardless of any other aspect, the fact that this stars a woman in the titular role has had people saying for years that it would automatically be bad. It's hard to argue that this would have come out upwards of 10 years ago, if not for that one aspect. I think a lot of people would have, and many, I'm sure, did, advise that it not rock the boat any more than that. So it's hard for me to overstate my relief and joy at finding that the movie is unapologetically feminist. It uses the spy training, which includes kidnapping girls when they are children, to explore trauma caused by men against women(obviously, the specifics of what they experience is extremely rare, and the details are hard to relate to. But the notion that some people, if not stopped, are simply going to keep hurting any female they can, really resonates). Ultimately, it could go even further. And it definitely would have been able to go deeper, if not for the trusted MCU formula demanding frequent action scenes. Thankfully, immensely talented director Cate Shortland does what she can (and that's a lot) to keep those scenes as intense and impactful as possible, by keeping the camera close, letting us feel every blow. There are some issues with the pacing and editing, that are most likely down to the movie not being completely done shooting before Corona restrictions were put in place, and a reluctance by the studio to postpone release until those rules were lifted. A decision which, honestly, is completely understandable. I won't spend long talking about Taskmaster, other than to say that, given what they clearly wanted to do there, they should simply have come up with a new character, or picked one that actually suited their needs, since now, they have frustrated(when that wasn't necessary or intentional at all) many who hoped for a more direct interpretation, and now merely distracts from a powerful and carefully thought-out depiction(as far as the ideas that this is exploring, they got it 100-percent spot-on).A little visible blood, and lasting wounds, push the PG-13 rating. I recommend this to any fan of Scarlett, her depiction of the role, of spy thrillers, and of comic book adaptations. 7/10."
34,Black Widow gets a standalone prequel that owes more than a nod to James Bond. There is even a glimpse of Roger Moore in Moonraker.I wonder if Disney were eyeing up a purchase of MGM before Amazon swooped in. It was one way to get their hands on 007.The movie opens in 1995. Alexei Shostakov (David Harbour) Melina Vostokoff (Rachel Weisz) and their daughters Natasha Romanoff and Yelena Belova (Florence Pugh) suddenly have to leave America.They are Russian sleeper agents and they have been exposed. The family have been working for General Dreykov (Ray Winstone) and they are not a real family.In 2016 after the events of Civil War. Natasha is on the run. Yelena kills a rogue former Black Widow and comes in contact with a synthetic gas. The frees her from a chemical that controls her mind. She is an operative of Dreykov.Both Natasha and Yelena reunite and then later get together with their surrogate parents. They want to bring down Dreykov who Natasha tried to assassinate some years earlier.After the events of Avengers: Endgame. There is something small scale about Black Widow. Nothing high stakes such as the fate of the entire universe being in peril. The movie suffers from not being a bombastic superhero movie.It really is an efficient spy/action movie with a couple of twists and turn. Harbour provides comedy as the Red Guardian. Weisz if effective as the mother figure but is underused.Winstone though seems to be coasting as the villain with a shifting Russian accent.
35,"Shang-Chi and the Legend of the Ten Rings (2021) :
Brief Review -Yet another superb stand-alone superhero flick in MCEU's kitty. MCEU's new phase never looked so promising but their products are delivering Better than expected. That Spider Man flick in 2019, right after Endgame, changed many perceptions about Marvel's future and even though couple of their recent series like 'Wanda Vision' and 'Loki' couldn't emerge as clear winners, they have set a solid base for upcoming new stories. Shang-Chi is a new start by all means. Not only because it comes under new phase but mainly because it is a stand-alone film and with a new superhero who is more like using traditional combat methods along with ancient superpowers. When Captain America or Black Panther begun as Stand-alone films, they promised too much and thankfully fulfilled it. Shang-Chi does the same. It may not promise too much like Steve Rogers and Wakanda stories but the point where it ends surely gives us hints of new assembled version of superheroes in Multiverse. Shang-Chi, the master of unarmed weaponry-based Kung Fu, is forced to confront his past after being drawn into the Ten Rings organization. The film has major portion covered by Family values and hence, it may look predictable but does not bore at all. Yes, few scenes are outdated and too dramatic as if we are watching a Superhero Film made in 90s but let's just forget those weak points as Shang Chi has excelled in Visual spectacle. The screenplay could have been better in the second half when the big War was supposed to take place but it actually looks tiny one except for those two humongous dragons which might remind you of 'The Hobbit'. Performances by Simu Li, Awkwafina, Meng'er Zhang, Fala Chen, Florian Munteanu are fine according to less potential available for the roles. Actually, the humour and tone of these characters was great. They all looked normal people when they were not fighting and even though the film has ancient refrences, the character don't actually go too deep to become expressive. Director Destin Daniel Cretton seemed slightly off track in the beginning when he tries to humanise all the characters with that typically teenage humor but as the film goes ahead, he recovers from the childish entanglement. With super explosive climax he surely makes up for his mistakes, rather makes us forgive it. Overall, Shang Chi is another superb entertainer for Marvel Fanboys and even neutrals are gonna enjoy it.RATING - 7/10*By - #samthebestest."
36,"It was better than the proceeding Marvel movie Black Window. More exceeding the expectations of a Marvel movie. Shang-Chi feels like the marvel movie experience is starting to get back to the normal of the theme ride Martian Scorsese believes they are (I can't disagree, just note that's what I want)In comparison Shang-Chi is a lower level character. I am a fan of Marvel comics but got more of the references to the Marvel Cinematic Universe in this movie than to the direct comic book references. Those Marvel cinematic universe references were amazing enough to get over the fact that the obvious comic book ones went over my head. I mean this movie's connection to other movies is great fanfare that makes me love it more. So really cool cameos happen that actually move the story along.I did like what they did with the Mandarin here but do feel they copied and paste a lot of things into the story of Shang-Chi to make a complete movie for a lower level character. From the little I know of the character he more fits into those Netflix's shows they did a few years back but change him enough to justify a blockbuster.They did succeed in making Shang-Chi's background more fuller. The relationship between him and his father and sister was beautiful, complex and more importantly, never bored me and of course Awkafina as the comedy relief and best friend to Shang-Chi was strategic gold. The story for the background was not that full. It's really a character driven movie for without the amazing performances from a group of actors who know their stuff this story would fall short.Note, I loved the fact that Michelle Yeoh was in this movie and that gives it a lot, but she's done way better in less effective films (but she most likely got a huge paycheck from Disney just to wave her hands around).The special effects were good in this flick. I was impress with what was used to make the final conflict and I was convince that the dude from Kim's Convenience was a master of kung fuIts a good movie but it did not live up to my high expectations of it. It gave me a lot of cool things but really did not give me anything I did not see before, in movies that did it better, but if it's about anything I did spend the rest of the day pretending I knew Kung fu."
37,"Watch this in IMAX!!!! The entire movie has an expanded aspect ratio. You're watching about 70% of the image on normal screens, plus on way smaller screens with worse speakers. I promise, it's worth itWOWOWOWOWOW. This movie blew me away. I love it. A LOT. From beginning to end. Everything. I walked out of the movie so hyped, silent-screaming under my mask as i walked to the car. It's been a while since i walked out of a movie this happy. I have so much to say.I love the MCU (a lot), but there are a few things that are frequently lacking. One of them is good fight scenes. They always have awesome action scenes, but specifically fight scenes are usually pretty good, only great in a few movies like civil war and winter soldier. And in general, fight scenes in American movies pale in comparison to Asian cinema (Ip man, The Raid Redemption, anything Jackie Chan).The fight scenes in this movie.... how do i describe it... amazing martial arts that's fast but clear, filmed in creative and astonishing ways without a hint of shaky cam or quick cuts, against stunningly beautiful backdrops... phenomenal. And they continuously focus on the fights instead of cutting to a different scene after 10 seconds like i've noticed in the MCU.This is BY FAR the best fighting in the MCU and it's not even close. Has to be up there with the John Wick series and Netflix's Daredevil as some of the best we've seen in America lately. I loved the first major fight scene so much that i was worried it would be the best one of the movie, far too early. Lol. I be stupid sometimesAnother frequent flaw in the MCU is lack of compelling villain. Nope. Awesome awesome awesome. That's all i'll say.Another of my frequent complaints is that the musical scores, with some exceptions, don't stand out. I think they heard. They're on a good streak with the shows and Black Widow. It's not as amazing as the Loki score but i liked it. It felt unique to this new franchise.Still so much more to say, need to go faster. This is one of the best, maybe THE best, story in the MCU, especially the way it's told. I loved all the characters, i loved all the casting choices, i loved the performances. There are scenes of dialogue that gave me goosebumps. All the emotional moments hit. All the callbacks hit. There isn't anything that didn't work for me. There's no such thing as a perfect movie, but mannnnnn.Lmao i didn't mention the cinematography. Why would i wait this long? It's MESMERIZING. A lot. Throughout. It's candy for your eyes.It's also nice to see well-written comedy with jokes relevant to the scene and characters, that feels organic. As opposed to the ""insert joke here"" method we've been seeing more of, especially in Far From Home.What's the opposite of formulaic? That's this movie. I never knew what to expect next (helps that i didn't watch a single trailer, they ruin movies). Definitely doesn't feel like a typical MCU movie. It has it's own unique tone and feel and character.Continuing what i said in my headline, i have this thing where i get goosebumps and start tearing up, not from an emotional moment, but from a scene being so incredible, especially action scenes. Don't know why it happens, don't know if it happens to other ppl. Maybe it's partly because i can't risk blinking. That happened in this movie numerous times. Like ""this is the coolest thing i've ever seen in my life."" hyperbole, but mannnnnafter endgame finished phase 3 (yes i know spider-man), i was so happy and satisfied with the MCU. But i wasn't sure they could ever recapture that magic again. I knew i would watch everything and it would probably mostly be awesome. But i wasn't expecting top-tier stuff any more. Lol. I be stupid sometimes. I am ecstatic to have that notion obliterated. As of now, this is a top 6 MCU movie for me. WowAll in all, i adore this movie. You may wonder why i wouldn't give it a 10 after all this raving. 10s are super rare for me, only 13 of them, and i watch thousands of movies. Interstellar, inception, mad max fury road, etc. Movies that shouldn't even be called movies. My 9s are rare too, they are my favorite movies. 10s are my favorites of my favorites. Only superhero movies i've given 10s are dark knight, dark knight rises and civil war.If you're still reading, wow you're awesome! I think this is my longest review other than Interstellar.I'm still in such a good mood. I can't wait to watch it again, in IMAX. I want to wait a week so it feels fresher, but i might not be able to! (3 viewings, 9/2/2021, 9/5/2021, 9/22/2021)"
38,"Showing no signs of slowing down hot off the heels of Black Widow, a raft of well-received Disney+ series and arriving not too far in front of the hotly anticipated The Eternals, Marvel continues to put in work that puts many other wheelhouses too shame, with the marital arts infused Shang-Chi and the Legend of the Ten Rings, yet another entry into the brands increasingly loaded catalogue of quality blockbuster releases.It's hard to pinpoint exactly what Marvel keep doing to maintain the momentum that started all those years ago with 2008's Iron Man, it's absolutely correct when many say a lot of these origin stories and event pictures follow a very set formula from A to B, but with an ability to attract some of the best actors working in the industry today and handpicking a raft of some of the most exciting Hollywood filmmakers around, Marvel have once more struck gold with the incredibly fun and inventive Shang-Chi.Quite possibly the most visually sumptuous Marvel film yet, sometimes feeling as if Marvel has meet with Ang Lee/Yimou Zhang and in my mind the Marvel film that features the best choregraphed action scenes yet from the spectacle heavy brand, Shang-Chi is a big screen blast that is freshly directed by the upcoming Destin Daniel Cretton who here has got his just rewards after his great debut Short Term 12 and the sadly undervalued The Glass Castle came before this big-budgeted ride.Infusing his film with a great energy and charm that is enhanced by the work of leads Simu Liu (in a career launching turn) as our likable hero Shaun/Shang-Chi, Awkwafina (doing her usual but fun schtick) as Shaun's bestie Katy and Tony Leung as the unfortunate villain of the piece Xu Wenwu, Cretton has turned out to be the perfect choice to start off the cinematic journey of the fist swinging Shang-Chi and helps instill in his film some nice differences to what we've come to expect from comic book blockbusters of the modern era.Most notably for the film is the exciting use of hand to hand combat that is delivered spectacularly in two stand out sequences on board a moving bus and then bettered alongside a high rise building in Macau, both these set pieces are easily some of the most noteworthy of any Marvel film yet while also benefiting the film other than its Asian infused eccentricities is the fun relationship between Shang-Chi and Katy than never bothers with adding extra baggage to add weight to their believable and fun friendship.If there was a major drawback to Shang-Chi's many wins it is in an overdrawn finale, a major problem many have acknowledged previously when it comes to Marvel films, Cretton and his team can't quite stick the landing for Shang-Chi with it being a little too long in the tooth for its own good and slightly overblown and while it features some incredible imagery and technical wizardry, the films rip-roaring start and strong middle section gives way too something lesser.Final Say -Another huge win for Marvel who have here with the help of director Destin Daniel Cretton and his talented cast, created an instantly likable cinematic universe that provides the comic kings with one of their most unique and exciting playgrounds yet.4 chicken-pigs out of 5."
39,"Showing no signs of slowing down hot off the heels of Black Widow, a raft of well-received Disney+ series and arriving not too far in front of the hotly anticipated The Eternals, Marvel continues to put in work that puts many other wheelhouses too shame, with the marital arts infused Shang-Chi and the Legend of the Ten Rings, yet another entry into the brands increasingly loaded catalogue of quality blockbuster releases.It's hard to pinpoint exactly what Marvel keep doing to maintain the momentum that started all those years ago with 2008's Iron Man, it's absolutely correct when many say a lot of these origin stories and event pictures follow a very set formula from A to B, but with an ability to attract some of the best actors working in the industry today and handpicking a raft of some of the most exciting Hollywood filmmakers around, Marvel have once more struck gold with the incredibly fun and inventive Shang-Chi.Quite possibly the most visually sumptuous Marvel film yet, sometimes feeling as if Marvel has meet with Ang Lee/Yimou Zhang and in my mind the Marvel film that features the best choregraphed action scenes yet from the spectacle heavy brand, Shang-Chi is a big screen blast that is freshly directed by the upcoming Destin Daniel Cretton who here has got his just rewards after his great debut Short Term 12 and the sadly undervalued The Glass Castle came before this big-budgeted ride.Infusing his film with a great energy and charm that is enhanced by the work of leads Simu Liu (in a career launching turn) as our likable hero Shaun/Shang-Chi, Awkwafina (doing her usual but fun schtick) as Shaun's bestie Katy and Tony Leung as the unfortunate villain of the piece Xu Wenwu, Cretton has turned out to be the perfect choice to start off the cinematic journey of the fist swinging Shang-Chi and helps instill in his film some nice differences to what we've come to expect from comic book blockbusters of the modern era.Most notably for the film is the exciting use of hand to hand combat that is delivered spectacularly in two stand out sequences on board a moving bus and then bettered alongside a high rise building in Macau, both these set pieces are easily some of the most noteworthy of any Marvel film yet while also benefiting the film other than its Asian infused eccentricities is the fun relationship between Shang-Chi and Katy than never bothers with adding extra baggage to add weight to their believable and fun friendship.If there was a major drawback to Shang-Chi's many wins it is in an overdrawn finale, a major problem many have acknowledged previously when it comes to Marvel films, Cretton and his team can't quite stick the landing for Shang-Chi with it being a little too long in the tooth for its own good and slightly overblown and while it features some incredible imagery and technical wizardry, the films rip-roaring start and strong middle section gives way too something lesser.Final Say -Another huge win for Marvel who have here with the help of director Destin Daniel Cretton and his talented cast, created an instantly likable cinematic universe that provides the comic kings with one of their most unique and exciting playgrounds yet.4 chicken-pigs out of 5."
40,"Is the red hot case in this movie that i underestimated at all levels before viewing, if you search the wikipedia for relevant information on the true facts you will be impressed how the writers and directors have spun a trully develish endaring parapsychologic gory horror thriller story like taken outta the 1980's best ''thing''ishly made products.What i admire most of all is the use of enerving background music that makes your goosebumps scream '' dont turn your back to it'', and the mix of special effects and brilliantly made scene staging, the use of light and dark, sound effects and bloody gory physical fights that will linger your vegetative nerve system for all its worth and may shake your abundant teratomas back to life, like ripley said,''believe it or not.There are some black holes in the timeline of the story, and some intriscic factors that youll find hard to add up when watching, but i was simply overwhelmed by the scare factor that becomes so dominant all the way from the start.Acting is not the top notch on the hyperbel curvature, but still good enough to make you think ''ive got to see this one more time, at the cinema''. So if your in for shock and awe and a little bit of a mental freakshow, do as the grumpy old man did, view it . A big recommend and still searching for my teratoma."
41,"From the first time Malignant was announced, it was called James Wan's giallo film.A few thoughts on that.It's a giallo film as much as Suspiria is a giallo. That's because most people think, ""Italian horror with red and blue colors equals giallo,"" which is much like someone thinking that all hip hop is rap or all metal has blast beats, maybe. It's a generalization and you know, you have to be fine with it. In a world where reviewers from publications as big as Variety can't understand that Halloween is not a rehash of Texas Chainsaw Massacre, you have to expect that some movies need a handle for people to better understand them.To the rest of us, those that haunted the aisles of the video stores minutes before closing, that carried lists of films in our wallets, that went from small town to town trying to find that magical movie drug that our store had no more supply of, I can tell you, if this movie had a Filmirage logo before it, the dubbing was off and a CGI Donald Pleasence or Donald O'Brien showed up, I would not be more surprised.This isn't a giallo. Sure, there's a giallo looking killer with a weapon somehow more ridiculous than the one in Too Beautiful to Die that has identity issues and a history of family madness much like Madhouse, but nope. This is the kind of movie that Screaming Mad George would have done the effects for, that would have had a trailer for Fatal Frames before it, that should have a piece of masking tape with green magic marker that says ""MUST BE 18 TO RENT"" emblazoned on it.So for every review I see that says, ""This has a bonkers third act!"" or ""It starts slow but hold on,"" I wonder, have I done too many movie drugs? Have I inhaled too deeply on the fumes of not only the Argento, Fulci, Henenlotter and Raimi - hail to those mentioning Darkman - that keep getting called out in these reviews, but also Full Moon, D'Amato, Lenzi, Stuart Gordon and so many more? Hell yeah I have. And I have no regrets. Movies mean more to me than most people. They've treated me better than most people. And I get the feeling that this is the kind of movie for people like me.Make no mistake - no movie has made me laugh out loud more this year than Malignant. And no movie made in 2021 will probably bring me so much joy because I kind of love that someone gave Wan $40 million to make a movie for people who say, why don't they make stuff like George Eastman's Metamorphosis or Tibor Takács' I, Madman any more.This is a movie that has a villain that feels like a character someone rolled up using the random character generator tables in an old school role playing game like Champions or Gamma World. ""What'd you roll up,"" we ask a young James Wan. ""Well, he has a giant sword that he made out of a doctor's award. And he can control lightning. And he dresses like he came right out of Strip Nude for Your Killer.""""Cool.""""I'm not done. He can also talk to people through radios.""I mean, can you not see the lunatic zeal of that? And sure, the acting is so bad that you wonder that it just might be a directorial choice - and if so, I love it - but this is also the kind of movie where the fact that Seattle is built above another city gets called out and kind of forgotten - unless you consider that this movie was built on the ashes of stuff like Ghosthouse, Castle Freak and Basket Case - and there's a moment where a character falls out of one part of the movie into another, effectively breaking the narrative just as surely as her body smashes through a house.Is Malignant a transmission from an alternate universe where Wan never stopped making pure junk - and I say that with affection - like Dead SIlence*? Is it someone trying to not have to make Hollywood sequels and screaming for help? Who can say. It's a mess, a glorious, ridiculous, unfocused mess packed with astounding levels of gore and several upbeat songs that don't fit the film at all.I'm shocked it didn't have someone discussing who is more popular in Denver, Kim Basinger or Kelly LeBrock over a ham radio.And in case it didn't come through, I loved this giant steaming pile of movie junk food.*I've done my best not to put any spoilers in here, but there's a security footage moment in here that has puppet work as bonkers and gory as when the villain behind that aforementioned film turned a family patriarch into a human puppet."
42,"James Wan's name was suffice to pull me into seeing this. This movie has a solid n creepy twist with lots of gory mayhem n it has a nice pace.But the the foggy lair looked phony.Also the hospital on top of a hill and the parking of a car almost at the end of a fence less cliff is way too ridiculous.The chase scene was not at all required as it was unbelievable. Also a cop coming face to face with a killer and still not believing the existence of such a killer is again wtf.The sister of the lead female character walks in n outta a hospital n gets access to all the files and that too like a piece of cake.Wasn't it the job of the cops to get access to the files?They have kept it open for a sequel as aft so much mayhem n so many dead police officers, a particular character's fate needs to be seen.(Hiding the character's name to avoid spoilers).Whether that character will be thrown in a jail, or a psychiatric ward or an army research center.I thot i saw a fatter Zoe Bell lookalike but was surprised when i saw her name on imdb.Zoe Bell is totally wasted.She has indeed put on lottuva weight."
43,"Well just okay! Malignant starts out with a curiosity! What's going on here at the hospital? Then we have a women in a abusive relationship. There is many Wan movie scares of bumps, and creeks in the night. Malignant gets interesting, but suddenly turns into Jeepers Creepers. Predictable and lame was the ending. Watchable, but over the top like 80's horror movie. I found the music and shots was an 80 tribute. Like many 80's horror movie Malignant is b ish. Watchable but forgettable."
44,"After her abusive husband is murdered, Maddie (Annabelle Wallis) must try and convince the cops that the killer was her imaginary childhood friend Gabriel. Just as the police are ready to label Maddie a basket case, chuck her in a madhouse and throw away the key, Gabriel makes his presence known...James Wan's Malignant begins like so many contemporary supernatural horrors, with a creepy, lank-haired figure lurking in the shadows (of which there are many), occasionally emerging from the darkness to scare protagonist Maddie. The movie is so predictable that, when it shows an award on a doctor's shelf, the trophy boasting a wicked spike, I rolled my eyes: 'Someone's getting impaled on that', I said to myself. And sure enough...It's formulaic stuff, but director Wan is toying with his audience, deliberately laying on the clichés, waiting patiently to pull the rug from under our feet with an outrageous plot twist that shifts the film from a mediocre chiller to an insanely enjoyable, off-the-wall gore-fest in a split second. This abrupt change in style and tone doesn't seem to have gone down too well with some viewers, but I really dug it - it caught me off-guard just as I was about to dismiss the film as just another dull spook-fest. Wan's absurd revelation prior to the final act propels the film into totally bonkers territory, and allows the director to ladle on the splatter as well as inject some well-handled action scenes.After so many dreary horror films that take themselves far too seriously, Malignant is a treat for those who enjoy movies that go a little mad sometimes."
45,"A family is vacationing at a tropical paradise resort, better than Cancun. They are offered access to a special secluded beach, just for them and as it turns out a few other folks. Once on the beach, they are kept from leaving and they are aging rapidly. As it turns out someone in every family has an illness.I liked the concept as it was new to me. For the most part the beach scenes were chaos with no one knowing what was going on, including the audience. They needed to spend more time on the ending which was anti-climatic.Guide: 1 F-word. Implied sex. Near nudity."
46,"A family is vacationing at a tropical paradise resort, better than Cancun. They are offered access to a special secluded beach, just for them and as it turns out a few other folks. Once on the beach, they are kept from leaving and they are aging rapidly. As it turns out someone in every family has an illness.I liked the concept as it was new to me. For the most part the beach scenes were chaos with no one knowing what was going on, including the audience. They needed to spend more time on the ending which was anti-climatic.Guide: 1 F-word. Implied sex. Near nudity."
47,"The story is interesting, but there's not enough suspense. There's something missing."
48,"A family is vacationing at a tropical paradise resort, better than Cancun. They are offered access to a special secluded beach, just for them and as it turns out a few other folks. Once on the beach, they are kept from leaving and they are aging rapidly. As it turns out someone in every family has an illness.I liked the concept as it was new to me. For the most part the beach scenes were chaos with no one knowing what was going on, including the audience. They needed to spend more time on the ending which was anti-climatic.Guide: 1 F-word. Implied sex. Near nudity."
49,"Greetings again from the darkness. THE SIXTH SENSE (1999) and UNBREAKABLE (2000) created a movie bond with filmmaker M Night Shyamalan that will always exist. In other words, I continue to go into each of his projects with hopeful expectations of another classic. Of course, some have been pretty good (SPLIT, 2016), while others are barely watchable (THE LAST AIRBENDER, 2010). His latest lands somewhere in the middle, but does feature a stunning beach setting (Dominican Republic) - one whose tropical beauty hides a sinister reality.The film's synopsis is captured in the trailer: tourists experience a mystifying and terrifying phenomenon while on a day trip to a gorgeous secluded beach. The director adapted the film from the 2010 graphic novel ""Sandcastle"", written by Pierre-Oscar Levy and Frederick Peeters. Shyamalan specializes in one thing: big and creative ideas. He is a risk-taking filmmaker, but one not always focused on execution, coherence, or details. Especially awkward here is the dialogue. None of these characters talk like real people. Lending to the awkwardness is the attention given to each character's name and occupation ... except for the kids, where age is the significant data.Due to the nature of the story (and the effects of the beach), the cast is significantly larger than the number of characters. We ride along with one family as they first approach the luxury resort. Insurance actuary Guy (Gael Garcia Bernal) and his wife, museum curator Prisca (Vicky Krieps) are vacationing with their 11 year old daughter Maddox (Alexa Swinton) and 6 year old son Trent (Nolan River). The couple clearly have a strained relationship and appear headed for a break-up. Encouraged by the resort manager to spend the day at a secret remote beach, they are joined by Charles (Rufus Sewell), a surgeon, his calcium-deficient trophy wife Chrystal (Abbey Lee), their young daughter Kara, and the doctor's elderly mother Agnes (Kathleen Chalfant). Another couple is there as well, nurse Jarin (Ken Leung) and his wife Patricia (Nikki Amuka-Bird), a psychologist. Already at the beach when they arrive is rap star Mid-sized Sedan (Aaron Pierre), replete with bloody nose and the corpse of the woman who accompanied him.It's best not to go into specifics about the progression of things for these folks on the beach, but it can be noted that they frantically try to find a way back to the resort. When all attempts prove unsuccessful, that ridiculous dialogue fills in many of the gaps for us, though you should know the science doesn't hold up ... think of it as fantasy instead. As their day at the beach moves forward, other actors take over: Alex Wolff and Thomasin McKenzie are teenage Trent and Maddox, Eliza Scanlen is Kara, and later, Emun Elliott and Embeth Davidtz become Trent and Maddox. It becomes frustrating for viewers as the professions are emphasized: Guy spouts statistics at every turn, Prisca discloses she's not a pathologist, and Patricia attempts to get everyone to bring their feelings to group. Ugh.Despite the many missteps and the overall mess of characterizations, Shyamalan (who also appears as the driver who drops them at the beach) does serve up a creative idea - one that will likely get viewers questioning their own mortality. Mental illness is addressed in a crude manner with Rufus Sewell (a fine actor) bearing the brunt of a poor script, while physical afflictions and the effects of age come off a bit better. The strange looking woman serving up custom cocktails at the resort is Francesca Eastwood (Clint's daughter), and Shyamalan's patented plot twist ending does make sense and even has a contemporary feel to it."
50,"Yeah, I get it. There are a lot of superhero movies. But saying there are too many is like saying there are too many slashers or comedies. It's a genre in and out of itself that can tell a variety of different stories. And nobody has done a better job of that than James Gunn, who started in the world of Troma and low budget horror like Slither before making Super and then taking over his own part of the Marvel Cinematic Universe with Guardians of the Galaxy.But let me tell you - this is basically a high budget low budget film with a heart and you'd be silly to skip it. What other movie would be audacious enough to - spoiler warning - kill more than half its cast including most of the names on the poster before the credits even begin?Where David Ayer's Suicide Squad was pretty much considered a fumble - I liked the Deadshot moments and seeing the cast on screen - this movie fully lives up to the premise of John Ostrander's run on the comic book. These are the very lowest of the low when it comes to super-villainy, forced by the American government to do missions where there's every single chance they'll die, whether at the hands of their enemy, one another or by the bombs implanted in their heads by their team leader Amanda Waller (Viola Davis, perhaps given less to do in this movie but nailing exactly who the character is).Two different versions of Task Force X have been sent to the island of Corto Maltese to destroy Jötunheim, a laboratory that holds the secret of Project Starfish. One team - led by Rick Flag made up of Harley Quinn (Margot Robbie, who has this character down as perfect as it gets), Captain Boomerang (a sadly wasted Jai Courtney), Savant (Michael Rooker), The Detachable Kid (Nathan Fillion), Javelin (Flula Borg), Mongal (Mayling Ng), Weasel (all CGI and looking like Bill the Cat) and Blackguard (Pete Davidson) will take the beach. The other - using them as a distraction - is Peacemaker (a perfect John Cena), Bloodsport (Idris Elba), King Shark (voiced by Sylvester Stallone), Polka-Dot Man (David Dastmalchian, not the first choice for a superhero character or actor, which should explain a bit of this movie to you) and Ratcatcher 2 (Daniela Melchior).This is a deep cut, but even Squad pilot Briscoe shows up to fly their transport. Deeper still is getting characters like Calendar Man, Kaleidoscope and Double Down into the prison.There's really no way that I can be subjective in my review of this. The Ostrander-era Suicide Squad is my favorite comic of all time and I subscribe to its modern remix Copra - you should too RIGHT NOW - and this movie completely hits all of the right notes, from how Killer Shark could eat anyone on the team at any time to Savant running from the battle and paying the price.So yeah. There are a lot of superhero movies. There is only one that has a kaiju starfish, a man who loves peace so much that he'd kill for it, full-frontal male nudity and perhaps the most gore I've ever seen in a mainstream film, as well as moments in the Project Starfish lab that would not feel out of place in an Italian zombie film.Movies can be and should be escapist fun. In a world where nearly every DC film has faltered to almost astounding levels, unable to even get the character of Superman correct in the last few decades, Gunn hits it out of the park. I can't wait for the Peacemaker show and whatever comes next.This is how you should feel after watching a blockbuster, folks."
51,"We are introduced to Savant (Michael Rooker) in the first scene. Don't get too attached. A second squad is made up to infiltrate Jutunheim on Corto Maltese island and get information on Project Starfish which has alien technology.I loved this film. It was funny and fresh unlike the other DC comic films. The Starfish takes on human consciousnesses similar to ""The Attack of the Crab Monster"" and has a certain ""Stay Puft"" silliness. Many dark comedy elements like Idris Elba's relationship with his daughter. LOL funny. Worth watching twice.Guide: Plenty of F-words. Implied sex. Brief nudity."
52,"I can't believe it's five years since I watched Suicide Squad at the cinema, I still moan about the waste of time and money, I loathed it.I went into this one with a degree of scepticism, but within the first five minutes, something just feels different, and that vibe continues through to the end, it is a totally different production, one I thoroughly enjoyed, it doesn't matter what kind of film you like, there is something here for you, it's funny, it's dark, it's of course action packed, and if like me, you like a bit of gore, then you may just find yourself enjoying this.I cannot remember the last time I enjoyed a hyped up film, I always seem to be at odds with the critics, however this time they're right.The acting does vary a little I would say, Idris Elba is just brilliant, it's nice to see him doing something a little different, I just wish Capaldi had a slightly bigger role.So good, I'm already booked in for a second viewing, 8/10."
